Filename	Segment	WC	WPS	Sixltr	Dic	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
108.Feingold.2.7.05.docx	1.00	992.00	25.44	42.54	62.70	34.17	3.73	1.51	0.00	0.10	0.00	0.71	0.71	2.22	7.16	7.36	3.73	1.31	2.32	0.71	1.31	13.61	4.03	0.20	2.02	0.10	0.00	5.65	0.00	0.10	1.71	5.44	2.12	3.33	0.60	1.71	0.40	10.69	0.71	2.12	0.71	1.41	1.61	1.51	2.62	0.60	1.21	0.30	0.50	0.30	0.60	0.10	0.40	0.10	0.00	11.29	1.61	6.65	2.12	6.55	3.73	0.71	0.30	1.11	0.20	0.30	0.00	0.10	0.00	5.14	7.86	0.30	0.10	0.00	0.00	0.91	0.00	3.83	0.00	0.00	18.15
109.Feingold.7.22.04.docx	1.00	811.00	16.22	36.74	71.89	42.66	9.25	5.18	2.10	1.85	0.00	0.12	1.11	4.07	7.52	8.63	4.93	1.23	6.04	0.49	2.47	13.44	4.32	0.86	1.48	0.62	0.00	9.00	0.12	0.62	1.85	5.55	1.97	3.58	1.11	1.48	0.49	12.70	1.23	1.23	1.60	0.99	1.23	0.99	4.69	0.74	0.99	0.49	0.25	0.25	0.62	0.12	0.25	0.25	0.00	10.97	2.71	3.82	4.07	4.44	3.45	0.37	0.37	0.12	0.12	0.62	0.00	0.00	0.00	7.15	5.92	0.00	0.00	0.12	0.00	0.37	0.00	0.86	0.00	0.00	14.43
11.Biden.1.28.03.docx	1.00	3591.00	24.77	27.43	77.30	51.71	12.87	7.63	1.42	3.29	0.08	0.61	2.23	5.24	7.77	12.45	8.49	1.34	7.07	1.84	2.67	11.84	5.65	1.95	2.09	0.64	0.06	10.41	0.08	0.08	1.39	5.76	2.53	3.17	0.42	2.20	0.28	17.38	2.56	2.03	2.31	2.45	1.09	0.81	5.21	3.06	1.03	0.22	0.53	0.19	0.39	0.08	0.25	0.03	0.03	10.36	1.56	5.35	2.90	2.56	2.14	0.31	0.33	0.81	0.42	0.67	0.03	0.31	0.00	3.84	6.63	0.19	0.22	0.70	0.00	0.17	0.00	0.92	0.00	0.19	12.87
110.Feingold.7.25.02.docx	1.00	746.00	22.61	34.05	69.84	43.03	8.04	4.69	2.41	2.01	0.00	0.00	0.27	3.35	8.04	10.59	6.43	0.80	5.50	1.47	2.82	13.14	4.56	0.54	1.88	0.13	0.00	4.83	0.00	0.13	0.40	7.10	3.35	3.35	0.67	2.55	0.00	17.56	4.16	2.82	2.28	2.28	1.34	0.67	4.42	1.07	1.61	0.54	0.80	0.13	0.40	0.13	0.13	0.00	0.13	9.79	1.47	5.76	3.35	2.28	2.95	0.13	0.00	0.00	0.00	0.27	0.00	0.27	0.00	6.03	5.50	0.00	0.00	0.00	0.00	0.40	0.00	0.54	0.00	0.00	12.47
111.Feingold.6.9.98.docx	1.00	629.00	19.66	32.11	69.16	44.67	7.47	3.18	1.75	0.32	0.00	0.00	1.11	4.29	7.63	10.02	6.52	3.18	4.13	0.64	2.54	13.67	4.29	0.16	2.70	0.64	0.00	6.52	0.00	0.16	1.75	5.88	2.23	3.34	0.00	2.70	0.32	10.49	1.27	2.07	0.64	1.75	0.64	0.95	3.66	0.64	0.95	0.64	0.00	0.64	0.16	0.00	0.00	0.00	0.16	13.99	1.75	6.20	6.04	2.70	2.86	0.48	0.32	0.64	0.00	1.75	0.00	0.00	0.00	6.04	5.25	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	11.92
112.Feingold.6.22.07.docx	1.00	479.00	22.81	35.49	72.44	46.35	11.06	6.26	0.42	4.38	0.00	0.21	1.25	4.80	4.18	10.65	8.77	0.42	6.26	2.09	3.13	11.90	5.85	2.09	1.25	0.21	0.00	8.14	0.00	0.00	0.21	7.10	4.18	2.92	0.21	1.88	0.42	17.75	2.09	1.25	2.51	1.67	2.71	2.30	4.59	3.76	1.04	0.00	0.63	0.00	0.63	0.63	0.00	0.00	0.00	12.53	1.04	7.72	3.55	2.71	3.97	0.42	0.00	0.00	0.00	0.21	0.00	0.00	0.00	4.80	4.18	0.00	0.00	0.00	0.00	0.42	0.00	2.30	0.00	0.00	11.69
113.Feingold.7.19.06.docx	1.00	452.00	23.79	38.94	71.24	42.48	5.53	0.88	0.22	0.44	0.00	0.00	0.22	4.65	9.73	6.42	5.75	0.44	3.54	1.33	0.66	13.50	4.20	1.33	2.88	0.44	0.00	4.20	0.00	0.22	0.88	9.51	7.52	1.77	0.22	0.44	0.22	12.83	2.65	1.33	1.55	0.22	2.43	1.55	3.76	0.88	0.88	0.00	0.22	0.44	0.22	0.00	0.22	0.00	0.00	10.18	0.00	6.42	3.32	2.21	2.88	0.22	0.00	0.22	0.00	0.00	0.00	0.00	0.00	5.75	6.19	0.00	0.22	0.00	0.00	0.22	0.00	0.22	0.00	0.00	12.61
114.Feingold.5.6.04.docx	1.00	629.00	24.19	35.77	71.70	41.97	6.20	2.54	1.27	0.95	0.00	0.00	0.32	3.66	6.68	7.63	5.41	1.11	4.77	0.32	2.23	13.04	5.88	1.43	2.54	0.64	0.00	6.52	0.00	0.32	2.23	4.77	1.59	3.18	0.79	2.07	0.16	15.42	1.43	2.23	0.95	1.59	0.95	1.59	4.93	1.59	1.27	1.11	0.00	0.16	1.11	0.16	0.32	0.32	0.32	13.51	2.07	7.15	4.13	3.97	2.54	0.00	0.48	0.32	0.00	0.48	0.00	0.16	0.00	4.93	6.36	0.00	0.32	0.00	0.00	0.32	0.00	1.27	0.00	0.00	13.20
115.Kennedy.5.6.04.docx	1.00	426.00	17.75	31.22	74.88	47.42	6.10	3.99	0.47	2.82	0.00	0.70	0.00	2.11	8.92	8.22	6.34	2.11	3.29	1.41	2.35	14.32	5.40	1.41	2.58	1.64	0.00	8.22	0.00	0.23	2.58	3.99	1.64	2.35	0.23	1.17	0.47	15.96	0.70	1.41	1.88	1.64	1.88	1.88	4.93	2.82	0.70	0.23	0.47	0.00	0.23	0.00	0.00	0.23	0.00	15.26	1.41	8.22	5.63	2.35	1.41	0.00	0.23	0.23	0.23	2.35	0.00	0.00	0.00	5.87	5.16	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	11.50
116.Feingold.3.30.04.docx	1.00	733.00	22.21	35.74	70.94	44.75	7.23	2.73	1.50	1.09	0.00	0.00	0.14	4.50	9.00	8.46	5.59	1.77	5.18	0.55	1.23	15.42	4.91	0.68	2.05	0.55	0.00	7.09	0.00	0.27	1.64	6.00	3.55	2.46	0.41	1.50	0.14	13.78	1.91	0.82	1.23	1.50	1.77	1.50	4.37	1.36	0.95	0.55	0.14	0.14	0.27	0.14	0.00	0.14	0.00	9.55	0.55	5.87	2.86	4.09	2.46	1.23	0.00	0.27	0.14	0.41	0.00	0.00	0.00	4.77	4.64	0.27	0.00	0.68	0.00	0.95	0.00	1.50	0.00	0.14	12.96
12.Biden.10.3.01.docx	1.00	2908.00	18.41	29.61	74.83	49.38	10.14	5.91	1.31	3.51	0.14	0.21	0.76	4.23	7.77	11.07	7.70	1.82	6.43	1.24	2.92	12.79	5.19	1.65	2.85	0.83	0.03	9.53	0.10	0.14	1.51	5.09	2.30	2.79	0.31	1.51	0.48	16.02	1.24	1.69	1.86	1.62	1.38	0.72	6.05	2.65	0.76	0.31	0.34	0.07	0.89	0.24	0.41	0.00	0.24	12.21	1.82	6.22	3.71	1.89	2.24	0.10	0.21	0.79	0.52	0.34	0.00	0.03	0.03	5.98	5.26	0.28	0.03	0.10	0.00	0.58	0.00	1.03	0.03	0.10	13.45
15.Bingaman.1.30.03.docx	1.00	880.00	20.95	32.16	73.64	47.05	9.89	5.45	1.02	2.61	0.00	0.91	0.91	4.43	8.86	9.66	6.25	1.70	5.91	0.80	1.93	12.95	5.45	0.80	2.39	0.57	0.00	6.48	0.00	0.34	0.23	5.80	1.82	3.86	0.23	3.30	0.11	14.55	1.82	2.27	1.14	2.16	0.68	1.70	3.86	2.84	1.14	0.57	0.23	0.34	0.11	0.00	0.11	0.00	0.00	13.98	2.27	6.48	5.00	3.18	2.95	0.11	0.57	0.11	0.11	1.02	0.23	0.00	0.00	7.05	5.45	0.00	0.00	0.23	0.00	0.00	0.00	1.48	0.00	0.00	14.20
16.Johnson.1.30.03.docx	1.00	853.00	27.52	35.05	68.35	42.32	7.27	3.40	1.06	1.52	0.00	0.12	0.70	3.87	6.45	6.57	4.34	1.17	3.40	0.70	2.46	14.07	6.10	0.94	1.76	0.70	0.00	5.51	0.35	0.23	1.17	6.10	1.76	4.34	1.06	2.81	0.23	14.07	1.52	1.76	0.82	1.52	1.64	0.47	6.10	1.17	0.82	0.47	0.12	0.23	1.06	0.82	0.23	0.00	0.00	10.20	1.06	4.92	3.63	4.57	1.76	0.23	0.35	0.70	0.00	0.82	0.00	0.12	0.00	6.10	6.80	0.35	0.00	0.12	0.00	0.70	0.00	1.17	0.00	0.00	15.24
17.Akaka.4.10.02.docx	1.00	625.00	19.53	39.68	65.28	37.76	5.28	2.88	0.32	2.24	0.00	0.00	0.32	2.40	7.36	8.00	4.96	1.44	3.68	0.96	1.12	12.32	5.60	0.48	1.92	0.16	0.00	4.96	0.00	0.16	0.48	6.40	2.56	3.84	0.32	2.72	0.64	16.32	2.08	2.40	1.44	1.92	1.28	1.76	5.76	1.76	0.32	0.16	0.00	0.16	0.16	0.00	0.16	0.00	0.00	12.16	0.96	7.20	4.00	4.96	3.68	0.64	0.00	0.16	0.16	0.48	0.00	0.00	0.00	7.04	5.76	0.00	0.00	0.48	0.00	1.76	0.00	1.12	0.00	0.00	16.16
18.Biden.7.22.04.docx	1.00	1086.00	18.72	36.28	70.53	44.84	9.48	2.58	0.74	1.29	0.00	0.00	0.55	6.91	6.72	10.04	6.91	0.92	6.08	1.93	2.76	11.79	4.70	1.29	2.49	0.18	0.00	4.97	0.00	0.09	0.09	7.18	4.24	2.85	0.46	2.03	0.18	16.57	2.95	2.39	1.57	2.49	1.47	1.10	3.50	2.95	0.18	0.00	0.18	0.00	0.28	0.09	0.00	0.00	0.18	9.30	1.93	4.42	2.39	3.87	2.67	0.00	0.28	0.37	0.18	0.09	0.09	0.28	0.00	5.62	3.78	0.09	0.46	0.00	0.00	0.28	0.00	0.92	0.00	0.00	11.14
180.Feingold.5.17.07.docx	1.00	727.00	31.61	39.20	71.25	41.13	7.02	2.48	1.24	0.41	0.00	0.00	0.83	4.54	7.57	7.98	4.68	0.83	4.40	0.69	1.93	12.10	5.78	0.00	2.61	1.51	0.00	5.36	0.00	0.28	1.10	7.02	4.95	1.93	0.55	0.96	0.55	11.69	1.51	1.51	0.96	0.55	1.24	0.96	4.68	0.55	0.69	0.28	0.00	0.14	0.55	0.55	0.00	0.00	0.00	10.73	1.93	5.23	3.58	4.81	2.61	0.83	0.28	2.20	0.00	0.41	0.14	0.00	0.14	4.13	5.78	0.00	0.00	0.00	0.00	0.55	0.00	1.79	0.00	0.55	12.79
181.Feingold.11.8.07.docx	1.00	848.00	20.68	37.50	68.75	43.51	8.49	4.36	0.24	3.42	0.00	0.12	0.59	4.13	5.42	8.84	6.37	0.83	5.54	1.53	2.83	12.74	6.37	1.53	2.36	0.12	0.00	6.49	0.00	0.12	0.12	6.60	2.83	3.66	0.47	1.42	0.94	17.33	1.65	1.18	2.12	2.36	0.71	1.42	6.84	2.48	0.47	0.24	0.12	0.12	0.24	0.00	0.24	0.00	0.00	10.02	1.30	5.66	2.95	4.25	3.66	0.00	0.35	0.47	0.47	0.12	0.00	0.12	0.00	5.66	6.01	0.00	0.00	0.00	0.00	0.83	0.00	1.53	0.00	0.12	14.15
182.Feingold.9.11.06.docx	1.00	800.00	25.81	41.38	67.88	38.00	4.62	1.00	0.12	0.12	0.00	0.00	0.75	3.62	9.75	7.12	4.25	1.00	3.62	0.75	1.00	12.50	3.38	0.25	2.12	0.62	0.00	4.12	0.00	0.00	1.00	6.00	2.88	3.12	0.62	1.25	0.62	13.88	1.50	2.62	0.88	1.88	1.75	1.62	3.50	1.00	0.00	0.00	0.00	0.00	0.50	0.00	0.25	0.00	0.25	14.62	2.00	8.75	3.75	3.38	2.75	0.00	0.25	0.12	0.00	0.50	0.12	0.00	0.00	6.75	5.25	0.00	0.00	0.00	0.00	0.88	0.00	2.25	0.00	0.00	15.12
183.Feingold.9.13.02.docx	1.00	827.00	21.21	39.30	71.46	41.35	6.77	3.87	2.78	0.73	0.00	0.12	0.24	2.90	7.74	7.26	4.11	1.45	5.08	0.24	1.69	14.63	4.35	1.57	1.21	0.36	0.00	6.89	0.00	0.24	1.21	6.05	3.99	2.06	0.00	1.33	0.24	12.94	2.18	0.97	0.73	1.09	1.21	0.36	4.23	2.66	0.60	0.12	0.36	0.00	0.12	0.00	0.12	0.00	0.00	12.21	1.09	6.77	3.99	6.29	4.59	0.85	0.12	0.24	0.48	0.24	0.12	0.00	0.00	5.20	6.05	0.00	0.00	0.12	0.00	1.09	0.00	1.09	0.00	0.00	13.54
184.Feingold.9.26.02.docx	1.00	1469.00	19.85	30.70	75.29	47.04	9.60	4.08	1.23	2.11	0.00	0.20	0.48	5.51	7.96	10.62	7.90	0.75	6.88	1.84	2.31	12.32	4.15	1.43	2.59	0.41	0.00	6.26	0.00	0.07	0.48	6.94	2.93	3.88	0.48	2.38	0.34	17.90	2.31	2.59	1.70	3.27	1.36	1.84	4.08	2.79	0.88	0.41	0.34	0.07	0.48	0.27	0.14	0.00	0.07	11.16	1.84	7.22	2.18	2.79	3.00	0.34	0.27	0.07	0.07	0.14	0.07	0.00	0.20	4.63	4.22	0.14	0.07	0.95	0.00	0.75	0.00	1.84	0.00	0.00	12.59
185.Feinstein.4.10.03.docx	1.00	2202.00	27.19	34.38	65.26	37.78	5.77	2.18	0.50	1.09	0.09	0.05	0.45	3.59	6.72	8.08	5.13	1.50	3.77	1.04	2.18	11.58	5.13	0.82	2.09	0.50	0.00	3.45	0.05	0.05	0.32	6.54	3.45	3.04	0.41	1.18	0.59	13.26	1.59	2.09	1.04	1.68	1.32	1.09	4.27	1.23	0.64	0.23	0.05	0.23	0.54	0.14	0.18	0.00	0.23	13.90	1.54	8.58	3.59	4.13	2.95	0.45	0.00	0.86	0.05	0.18	0.05	0.32	0.05	4.50	6.54	0.23	0.68	0.00	0.00	1.09	0.00	1.27	0.00	0.00	14.31
186.Feinstein.9.5.02.docx	1.00	1874.00	17.85	29.99	71.29	46.16	9.55	5.34	1.39	2.93	0.00	0.43	0.59	4.22	7.15	10.41	7.04	1.12	5.60	1.81	3.36	12.06	5.23	1.12	2.13	0.48	0.05	6.56	0.00	0.16	0.32	5.92	1.49	4.32	0.91	2.67	0.43	14.89	2.45	1.60	1.28	2.13	0.96	0.69	5.76	1.92	0.69	0.37	0.16	0.05	0.37	0.21	0.16	0.00	0.00	13.98	1.92	7.68	3.90	2.08	2.40	0.16	0.11	0.37	0.32	1.12	0.00	0.00	0.00	5.28	7.26	0.27	0.00	0.75	0.00	0.69	0.00	0.91	0.05	0.16	15.42
186.Lott.2.12.98.docx	1.00	2035.00	17.70	26.54	76.95	51.70	12.43	6.93	1.97	3.05	0.25	0.84	0.84	5.50	7.08	14.99	10.32	1.97	9.43	1.52	4.13	10.96	5.60	1.52	1.92	0.44	0.00	8.80	0.00	0.15	0.98	4.23	1.87	2.36	0.25	1.23	0.20	19.16	2.80	2.85	2.21	1.72	1.97	0.54	6.49	2.11	1.18	0.34	0.64	0.20	0.25	0.00	0.20	0.00	0.05	11.45	2.75	4.77	4.08	2.31	2.46	0.10	0.15	0.25	0.05	0.20	0.10	0.00	0.00	5.65	4.77	0.00	0.15	0.49	0.00	0.54	0.00	1.18	0.00	0.05	12.83
187.Daschle.2.12.98.docx	1.00	1076.00	22.42	34.85	74.54	44.24	8.36	4.28	0.46	1.77	0.00	1.21	0.84	4.09	5.95	8.55	6.41	0.84	5.48	1.21	2.23	14.13	4.83	1.12	2.42	0.65	0.00	9.11	0.00	0.28	0.56	6.78	3.25	3.53	0.19	2.88	0.00	17.66	2.70	2.79	1.49	1.02	2.79	1.39	5.39	1.12	0.65	0.00	0.65	0.00	0.28	0.09	0.19	0.00	0.00	11.25	1.95	5.86	3.07	4.18	4.46	0.46	0.19	0.09	0.46	0.00	0.09	0.00	0.09	6.04	3.16	0.28	0.09	0.00	0.00	0.09	0.00	1.86	0.09	0.00	11.71
188.Biden.2.12.98.docx	1.00	1795.00	19.10	36.55	72.76	43.01	7.58	3.45	0.72	1.89	0.00	0.61	0.22	4.12	7.41	10.31	6.96	1.34	5.57	1.56	1.45	12.70	4.18	0.95	1.89	0.78	0.00	6.91	0.00	0.06	0.33	6.57	3.29	3.29	0.17	2.67	0.22	18.27	3.29	3.06	1.73	2.12	1.67	2.34	3.79	1.84	0.28	0.06	0.11	0.11	0.33	0.17	0.17	0.00	0.00	11.75	1.56	6.41	3.62	4.57	3.34	0.45	0.06	0.39	0.06	0.45	0.06	0.00	0.06	5.46	4.79	0.17	0.00	0.17	0.00	0.50	0.00	1.56	0.22	0.00	13.09
189.Hutchison.2.12.98.docx	1.00	754.00	16.76	25.33	81.43	55.04	15.78	8.09	1.19	3.98	1.06	0.80	1.06	7.69	8.62	15.78	11.01	1.19	11.01	1.72	3.58	12.07	4.64	0.80	1.33	0.53	0.00	12.73	0.00	0.27	1.99	5.84	2.52	3.32	0.27	2.25	0.27	17.90	2.25	2.12	2.65	3.58	1.19	1.06	4.77	2.79	1.06	0.40	0.53	0.13	0.40	0.27	0.00	0.00	0.13	8.75	1.46	5.31	1.59	2.52	2.92	0.13	0.27	0.13	0.00	0.66	0.00	0.00	0.00	5.57	4.91	0.13	0.13	1.06	0.00	0.00	0.00	1.06	0.00	0.00	12.86
19.Biden.6.17.04.docx	1.00	1005.00	22.84	37.11	67.26	40.60	6.37	2.59	1.19	0.80	0.00	0.50	0.10	3.78	8.16	8.36	4.48	2.59	3.38	0.60	1.49	13.43	4.58	1.19	2.29	0.20	0.00	4.88	0.00	0.20	1.00	5.47	3.28	2.09	0.60	0.80	0.30	12.64	1.09	1.99	1.00	1.99	1.39	0.70	3.78	1.49	1.00	0.30	0.40	0.30	0.50	0.30	0.20	0.00	0.00	13.53	1.49	6.87	4.68	4.18	2.99	0.40	0.20	1.49	0.10	0.10	0.10	0.00	0.10	5.67	7.36	0.20	0.40	0.00	0.00	1.19	0.00	6.97	0.00	0.10	21.89
190.Lieberman.2.12.98.docx	1.00	1928.00	27.94	28.32	76.04	50.93	13.07	6.02	1.50	2.96	0.36	0.83	0.36	7.05	7.99	10.11	7.16	1.66	6.59	1.24	2.54	13.07	5.34	1.35	2.13	0.36	0.00	7.52	0.00	0.36	0.62	6.64	3.27	3.32	0.21	2.44	0.36	16.70	2.02	2.70	1.19	2.70	1.40	0.73	5.24	2.49	1.19	0.26	0.47	0.31	0.47	0.16	0.31	0.00	0.00	11.72	1.92	7.11	2.18	3.01	3.16	0.26	0.31	0.26	0.05	0.47	0.00	0.05	0.00	3.79	8.35	0.00	0.36	0.21	0.00	0.36	0.00	1.09	0.00	0.00	14.16
191.Levin.2.12.98.docx	1.00	962.00	21.86	37.32	69.65	40.23	7.28	3.53	0.73	0.83	0.00	1.25	0.73	3.74	6.96	11.23	5.51	1.98	4.99	1.14	1.25	13.41	4.78	0.83	1.87	0.10	0.00	6.55	0.00	0.10	0.94	6.24	3.33	2.91	0.10	1.98	0.52	14.97	2.18	2.39	1.46	1.14	1.46	2.08	4.16	1.25	0.42	0.00	0.21	0.10	0.31	0.00	0.21	0.00	0.10	12.06	1.25	6.44	4.16	4.89	3.22	0.21	0.10	0.42	0.10	0.10	0.00	0.00	0.00	5.93	6.24	0.21	0.00	0.00	0.00	0.21	0.00	1.77	0.10	0.00	14.55
