WPS	Sixltr	Dic	i	we	you	shehe	they	ipron	article	auxverb	past	present	future	adverb	preps	conj	negate	quant	social	posemo	negemo	insight	cause	discrep	tentat	certain	inhib	incl	excl	motion	space	time	work	achieve	money	relig	death
18.41	29.61	74.83	1.31	3.51	.14	.21	.76	4.23	7.77	7.7	1.82	6.43	1.24	2.92	12.79	5.19	1.65	2.85	9.53	2.3	2.79	1.24	1.69	1.86	1.62	1.38	.72	6.05	2.65	1.82	6.22	3.71	1.89	2.24	.79	.52	.34
20.95	32.16	73.64	1.02	2.61	0	.91	.91	4.43	8.86	6.25	1.7	5.91	.8	1.93	12.95	5.45	.8	2.39	6.48	1.82	3.86	1.82	2.27	1.14	2.16	.68	1.7	3.86	2.84	2.27	6.48	5	3.18	2.95	.11	.11	1.02
27.52	35.05	68.35	1.06	1.52	0	.12	.7	3.87	6.45	4.34	1.17	3.4	.7	2.46	14.07	6.1	.94	1.76	5.51	1.76	4.34	1.52	1.76	.82	1.52	1.64	.47	6.1	1.17	1.06	4.92	3.63	4.57	1.76	.7	0	.82
19.53	39.68	65.28	.32	2.24	0	0	.32	2.4	7.36	4.96	1.44	3.68	.96	1.12	12.32	5.6	.48	1.92	4.96	2.56	3.84	2.08	2.4	1.44	1.92	1.28	1.76	5.76	1.76	.96	7.2	4	4.96	3.68	.16	.16	.48
18.72	36.28	70.53	.74	1.29	0	0	.55	6.91	6.72	6.91	.92	6.08	1.93	2.76	11.79	4.7	1.29	2.49	4.97	4.24	2.85	2.95	2.39	1.57	2.49	1.47	1.1	3.5	2.95	1.93	4.42	2.39	3.87	2.67	.37	.18	.09
22.84	37.11	67.26	1.19	.8	0	.5	.1	3.78	8.16	4.48	2.59	3.38	.6	1.49	13.43	4.58	1.19	2.29	4.88	3.28	2.09	1.09	1.99	1	1.99	1.39	.7	3.78	1.49	1.49	6.87	4.68	4.18	2.99	1.49	.1	.1
24.68	29.24	74.48	2.19	1.31	.11	0	.66	5.59	8.32	7.78	3.72	6.35	.77	2.41	10.41	4.05	1.31	1.97	4.27	2.19	1.31	1.42	2.41	.77	1.64	1.1	.33	4.16	1.75	3.29	4.71	5.81	5.81	2.52	1.42	.11	0
15.96	32.02	74.71	1.16	2.32	.23	3.48	.93	3.71	7.89	8.12	.46	7.19	2.09	1.86	10.44	6.5	.93	2.09	11.14	3.25	4.41	2.32	2.78	1.39	2.32	1.39	.23	6.96	2.09	1.86	4.64	2.09	2.32	3.25	0	.23	0
16.45	28.28	73.36	1.65	2.27	0	.67	.67	4.22	5.72	6.9	2.16	6.13	1.29	2.73	13.76	4.33	1.08	3.09	7.01	2.22	3.61	2.06	2.11	1.6	2.01	1.75	.77	5.15	1.91	1.55	6.9	5.15	4.07	2.22	.57	0	.36
18.29	29.55	74.13	1.16	3.26	0	.63	.63	4.73	8.2	8.62	2.52	6.41	1.26	1.58	11.57	5.26	.74	1.16	7.78	2	4.63	2.42	2	1.37	.95	1.16	.84	6.62	1.26	2.84	5.47	4.84	2.52	2.94	0	.11	.42
17.8	41.57	65.54	3	.37	0	0	.37	2.62	5.99	6.74	1.5	5.99	2.25	2.25	10.86	3	.75	1.12	3.37	4.12	4.87	2.25	.75	3.37	1.5	.37	.75	1.5	1.12	2.25	4.87	2.62	5.62	4.12	1.87	0	.37
20.93	36.86	65.87	1.37	1.02	0	0	.68	4.1	8.87	4.1	1.02	5.46	.68	2.39	12.63	2.73	.68	1.02	6.14	5.12	3.75	2.73	1.71	1.37	1.02	1.37	1.71	2.73	0	2.05	5.8	3.07	4.1	1.71	0	0	0
15.41	33.4	71.03	1.51	.38	.28	.56	1.88	6.59	7.62	6.4	1.98	5.36	.56	3.01	11.19	4.14	.19	2.16	9.41	1.03	3.2	.94	1.69	.66	1.41	.85	.66	2.82	.75	1.41	6.68	4.42	4.23	1.51	.47	.66	.38
16	26.7	69.89	.57	1.42	0	1.99	.85	3.98	7.1	7.67	2.27	6.82	0	1.42	13.92	3.69	1.42	2.56	6.25	2.84	3.98	1.42	1.14	0	.28	.85	1.14	5.4	1.14	2.27	9.38	5.68	1.99	3.12	.28	0	1.14
19.03	24.57	73.45	1.91	1.77	.27	.14	1.91	4.3	8.33	6.55	1.09	6.69	1.16	3.48	12.56	4.85	.48	2.18	9.08	2.05	2.05	1.02	1.23	1.91	1.71	.55	.68	5.8	1.37	1.5	10.31	2.8	2.94	1.57	.89	.07	.27
15.68	29.85	73.27	1.49	3.66	0	1.36	1.9	5.7	7.19	6.51	1.22	7.46	1.09	1.22	13.57	3.39	.27	.41	13.03	2.85	3.8	1.76	1.63	1.36	1.22	.27	.27	5.43	.41	2.04	8.01	2.99	3.66	3.12	.81	1.22	.41
22.15	28.04	70.34	.86	1.09	.24	.05	1.05	4.56	7.37	5.75	1.52	5.09	.71	2.52	13.88	5.7	.76	2.14	6.46	1.57	2.28	1.33	1.71	1.19	1.81	.81	.9	5.37	1.66	1.47	10.12	3.23	2.28	1.43	.24	0	.43
16.06	22.95	77.7	1.81	3.04	0	.36	2.46	7.24	6.88	10.93	3.84	9.27	1.01	3.77	11.44	4.13	.94	1.23	10.64	1.81	2.03	.94	.65	1.16	1.3	.8	.94	6.37	1.81	3.11	6.73	4.34	1.88	1.52	0	.07	1.59
14.88	29.97	75.32	1.42	1.03	0	.9	2.2	6.59	7.62	9.17	1.94	9.04	.65	2.97	12.4	4.13	1.68	1.29	7.24	2.33	2.45	.9	1.68	1.55	1.03	.9	.78	3.49	1.42	3.49	6.33	4.13	4.65	2.58	.78	.13	0
15.32	25.64	75.06	1.86	1.4	0	.47	.7	5.59	8.39	7.93	2.1	7.69	.23	4.43	14.69	3.5	.23	1.63	7.46	2.33	3.03	.23	1.63	0	.47	.23	.7	4.9	1.86	2.8	8.62	3.5	1.4	1.63	0	.7	.47
18.8	32.89	70.98	1.79	.92	.12	.64	.75	4.16	8.32	5.61	2.08	5.43	.75	1.79	13.06	4.1	1.04	1.27	7.05	1.62	2.54	1.68	1.33	1.21	1.5	.75	1.21	4.62	1.68	1.73	6.3	4.8	3.82	1.91	.87	0	2.02
29.14	38.82	63.91	.47	.83	0	.12	.59	2.96	6.98	4.26	1.18	3.79	1.3	2.01	15.38	5.09	.12	1.54	6.04	3.43	2.96	.47	1.07	.95	1.3	1.78	1.42	4.5	.71	1.89	4.5	3.67	2.96	1.78	1.3	.71	.12
17.19	24.35	71.34	1.72	.65	.22	0	2.37	6.9	7.97	4.74	.43	6.9	0	2.16	11.42	4.53	0	1.29	9.48	2.16	1.94	.86	.43	.65	1.94	.65	1.08	4.53	1.51	1.72	8.62	2.59	3.66	2.16	1.29	0	0
17.75	34.39	72.53	2.17	.79	.1	.3	.69	5.34	9.49	6.42	2.17	5.63	.79	2.37	12.65	3.75	.89	1.98	6.62	2.67	2.37	1.38	1.38	.89	.69	1.28	.79	3.85	1.48	1.98	5.93	4.64	4.35	1.98	.1	0	1.09
22.46	30.21	70.75	1.37	1.16	.07	.07	.89	4.25	7.88	5.62	.89	5.14	1.16	2.53	13.22	4.73	.75	1.92	6.92	1.99	1.64	1.58	1.51	1.37	1.03	1.16	1.03	5.07	1.03	1.1	10.34	1.99	3.36	2.19	.89	.21	.41
12.9	27.72	75.41	1.64	3.43	0	.15	1.04	4.47	9.84	9.39	1.94	9.24	.15	3.43	10.88	3.87	.75	2.09	8.79	1.79	2.38	.89	1.19	1.19	1.34	0	.45	5.51	1.79	2.09	6.56	5.07	3.58	2.38	.75	0	1.04
11	22.73	77.27	5.11	4.55	0	.57	.57	6.82	6.25	12.5	1.7	11.93	1.14	2.84	10.23	1.7	.57	1.14	9.09	4.55	2.27	.57	.57	.57	1.14	1.14	1.14	5.68	1.14	3.41	6.82	3.98	0	1.14	0	0	1.7
21.27	29.29	72.01	1.87	1.13	0	2.38	.57	4.02	9.24	6.57	1.19	6.8	1.19	1.81	12.58	4.65	.85	1.08	8.22	2.21	3.68	1.93	1.42	1.25	2.15	.91	.96	3.97	1.81	1.42	6.06	3.46	3.46	3.4	.06	.28	1.08
18.44	32.27	69.45	.82	2.58	.04	.78	.23	4.02	7.22	7.1	1.4	4.96	2.11	3.24	10.61	4.21	.94	2.18	6.16	3.08	4.64	1.83	1.87	1.21	1.64	1.29	.86	3.86	1.72	1.29	4.84	4.92	3.08	2.73	.27	.23	1.6
25.25	30.91	72.79	2.21	2.01	.13	.84	.45	4.09	8.57	6.95	2.86	4.74	1.62	2.14	11.75	5.58	1.23	2.21	7.86	2.99	3.12	2.4	2.08	1.49	2.21	.91	1.23	4.42	1.82	1.23	4.74	4.35	2.99	2.4	.32	.13	.26
15.17	30.18	72.6	.98	.98	.26	.98	.43	5.27	9.03	7.71	1.84	6.93	1.46	2.14	11.86	3.68	.98	1.63	6.89	1.58	2.53	2.44	1.88	1.63	2.14	1.41	.86	3.08	2.01	1.11	5.65	3.68	4.15	3.08	.47	0	.56
18.95	34.56	69.94	1.11	1.31	.1	.48	.39	4.02	9.49	6.78	2.61	4.89	1.06	2.61	11.33	4.4	1.16	1.4	5.66	1.31	3.44	2.71	1.4	1.21	1.98	.73	1.31	4.65	1.65	1.26	4.21	4.07	5.32	2.08	.19	.24	.68
15.73	27.5	74.07	1.95	3.35	0	1.84	.78	4.68	6.92	9.54	2.29	8.64	.73	2.62	12.49	3.85	.61	1.62	10.54	1.95	1.34	1.73	1.73	1.34	1.28	1.12	.78	5.41	1.34	2.68	6.75	3.96	2.73	2.06	1.06	.22	.78
15.3	33.88	70.28	2.53	.89	0	2.08	.37	3.19	7.06	6.24	3.42	3.94	.67	2.75	11.74	4.61	.59	1.34	8.62	1.86	1.71	1.86	1.19	.97	1.26	1.63	.82	3.94	1.04	1.49	5.5	5.94	3.71	1.78	1.26	.22	.59
19.78	29.96	73.07	2.3	1.93	.28	.55	1.1	4.14	6.43	5.42	2.21	6.07	.55	4.14	15.44	5.24	.55	1.29	10.11	2.94	2.02	1.56	1.1	.83	.83	.92	.64	4.32	.92	2.11	5.51	3.95	2.76	2.76	.83	.37	.55
14.84	23.5	78.51	2.37	3.1	.18	.18	.73	7.83	7.83	10.2	2.73	10.38	.55	3.64	12.75	3.46	.91	1.46	7.47	1.82	1.64	.55	1.46	2	2.19	0	.36	6.56	1.28	2.37	10.56	4.37	3.83	1.09	.73	.18	.73
17.41	33.16	68.93	1.31	1.57	0	0	0	5.87	9.14	8.09	2.09	6.14	2.09	1.04	12.4	2.35	.65	.78	3.79	1.96	3.13	1.83	1.83	2.09	.78	2.35	1.17	4.05	.91	1.44	6.79	2.48	4.18	2.35	1.44	.13	.13
25.5	35.42	70.84	1.62	2.2	.29	.29	.13	3.21	8.2	4.41	1.78	4.08	.78	2.27	13.77	4.18	.81	2.37	6.03	3.31	2.53	2.53	1.94	1.17	1.3	1.46	1.46	4.57	1.17	1.49	5.99	4.5	4.02	4.15	.58	.03	.62
20.25	38.89	69.29	1.39	1.7	0	0	.31	4.48	9.26	4.78	1.08	4.94	.77	1.7	11.57	3.4	1.08	1.7	3.7	4.32	2.62	.93	1.85	1.08	1.54	.77	2.31	4.17	1.08	2.78	7.1	3.09	4.48	2.78	.31	0	0
21.62	28.71	76.28	2.02	2.49	.42	2.25	.59	5.52	9.37	7.53	3.2	6.23	1.01	1.96	13.29	3.2	1.9	1.42	9.61	2.14	3.2	1.72	1.84	1.07	1.3	1.25	.77	4.69	2.25	3.14	5.16	2.55	4.21	3.26	0	.06	1.72
21.9	33.32	68.67	1.55	.75	.08	.68	.48	3.89	8.1	6.16	1.27	4.77	1.43	2.22	14.46	5	.95	1.91	5.52	1.75	2.3	1.75	2.42	1.55	1.91	1.71	1.23	4.21	2.18	1.51	5.92	4.29	2.94	2.34	.32	.2	.44
17.59	43.58	58.95	.21	1.05	0	.21	.84	2.53	6.95	4	1.68	2.74	.63	1.26	12.21	3.37	0	1.47	5.47	1.47	2.95	.42	2.74	1.68	.21	1.05	1.68	4	.21	2.32	4	5.47	3.58	2.53	.42	.42	.84
21.36	32.99	69	.95	1.62	0	.52	.46	3.06	7.62	5.88	.86	4.99	1.13	1.81	12.42	4.16	1.32	2.02	5.72	3.52	2.08	1.32	1.13	1.04	1.68	1.01	.98	4.25	1.84	1.56	9.67	4.07	3.49	2.48	1.35	.12	.12
20.42	32.63	71.21	2.47	1.21	.08	1.02	.51	3.88	7.09	7.68	2.15	5.64	2.04	1.88	13.36	4.19	1.25	1.84	6.46	2.94	1.41	1.68	2.51	2.35	1.68	1.61	1.25	3.49	1.96	1.53	6.89	4.31	3.13	2.78	.27	.08	.31
30.4	34.21	68.29	1.18	.26	0	.13	.13	4.87	7.24	5.92	.39	4.47	1.58	.92	12.5	4.21	.66	.92	5.53	5.39	1.05	2.11	.79	1.45	1.32	.92	.79	4.47	1.18	2.63	8.42	2.5	2.76	3.82	.66	.13	0
21.04	26.6	72.38	.81	2.68	.37	.85	.69	5.73	6.46	5.85	2.32	4.91	.73	3.25	12.88	4.87	1.22	1.71	9.5	2.44	2.27	1.42	1.46	1.26	1.71	1.42	1.95	5.4	1.54	.81	7.19	4.26	1.99	1.34	.61	.24	1.02
20.88	30	77.04	1.41	1.69	.28	.14	1.69	6.06	7.04	7.89	2.82	6.62	1.13	3.94	12.96	4.23	.56	2.39	6.76	1.27	3.38	1.55	1.55	1.97	.99	1.41	.56	3.38	1.41	1.55	7.61	3.94	4.08	1.27	.7	0	.14
19.14	24.31	74.09	1.81	2.24	.53	.53	2.45	6.18	6.18	9.49	2.24	7.89	1.81	2.35	10.98	4.26	1.17	1.92	8.85	1.28	1.81	.96	2.67	3.09	2.13	1.28	.53	4.8	1.81	2.35	7.78	3.41	3.41	2.24	.64	0	0
20.32	24.85	73.71	1.79	2.49	.84	.2	.84	7.75	6.01	7.65	1.49	7.95	.6	3.98	13.67	4.37	1.44	2.29	8.6	1.24	1.94	1.24	.99	1.04	2.14	1.14	.4	5.86	1.89	1.94	7.9	4.17	2.19	1.29	.25	0	.45
17.57	34.16	73.02	1.36	1.86	0	.12	2.23	4.7	8.66	5.07	.62	5.94	.62	.99	12.87	4.08	.87	1.61	9.28	5.32	2.97	.74	1.11	.99	1.11	1.11	1.73	5.32	.99	3.09	4.83	1.98	3.71	3.71	1.36	.5	.25
19.74	32.14	71.75	1.69	2.05	0	.41	.77	4.35	8.09	7.47	1.64	6.76	1.33	3.12	13.15	4.96	1.64	1.69	7.22	2	2.1	2	1.18	1.48	2.3	1.02	1.38	5.02	2.66	2.25	6.14	3.89	4.4	2.41	.46	0	.56
17.09	35.82	71.81	1.42	3.37	0	0	.71	4.79	5.67	9.4	1.77	5.67	1.95	1.06	12.23	4.43	.35	2.13	7.8	3.72	2.66	.71	1.24	1.77	.53	2.3	1.42	6.38	.71	1.24	3.55	4.96	4.79	2.84	.71	.35	.53
23.87	37.81	68.26	1.08	.59	1.01	.07	.21	3.07	8.14	3.63	.91	2.83	.94	1.19	14.46	4.96	.45	1.19	6.39	4.36	1.92	1.75	1.01	.94	1.01	1.08	2.65	5.83	.87	1.26	7.12	3.49	5.38	3.07	.56	.21	.42
14.57	25.86	76.96	.98	2.45	.25	.25	3.06	5.02	7.97	8.33	1.47	9.19	.86	3.06	12.99	3.31	1.23	1.1	10.42	4.04	2.82	2.21	2.08	2.57	1.23	1.35	2.21	4.66	1.84	1.84	4.04	2.45	3.19	2.94	.49	0	.12
27.93	37.34	68.03	2.3	1.79	0	.26	.26	4.6	8.44	4.6	.51	4.6	1.02	1.02	13.81	3.58	0	1.02	5.63	3.58	2.56	1.53	1.53	.26	.26	1.28	2.05	4.35	.26	1.53	6.39	4.6	5.12	3.58	0	.26	0
25.41	35.68	71.2	1.42	1.05	0	.94	.21	4.35	9.02	6.77	1.21	5.72	1.1	2.89	11.91	4.56	1.47	2.41	4.35	2.2	4.77	2.1	3.78	1.57	2.15	1.52	1.36	2.52	2.73	1.94	5.35	2.36	2.73	3.1	0	.1	1.05
17.88	38.2	72.23	.57	.95	0	0	.38	5.97	8.15	6.26	1.71	4.93	.57	2.37	12.42	5.97	.57	2.65	5.69	1.71	3.98	.95	2.37	1.14	.95	1.61	2.56	4.64	1.52	.95	4.74	3.79	3.32	2.56	.09	.09	2.84
23.71	35.54	74.1	2.71	1.81	.3	0	.6	3.61	7.23	2.11	.9	2.11	.9	2.11	16.57	5.72	1.2	1.81	10.84	3.01	.3	1.81	.6	.3	0	1.51	0	6.33	.3	1.51	5.12	6.02	2.71	1.2	.6	4.52	1.81
21.27	32.05	73.08	1.28	2.71	0	0	.71	6.13	7.41	6.55	1.14	6.55	1.57	3.56	12.68	4.27	.85	1.99	6.98	1.42	3.13	1.57	1.28	1.14	1.57	2.42	1.14	4.27	1	1.71	8.55	3.85	2.56	1.71	0	0	.85
15.62	30.04	76.71	1.51	3.2	.09	.09	.98	5.87	8.36	7.11	1.87	7.02	.53	2.76	12.44	3.82	1.24	2.22	9.69	2.49	2.22	1.24	1.42	1.69	1.33	.98	1.87	5.6	1.6	2.76	5.6	3.47	3.64	1.51	1.33	.09	.89
17.19	31.16	77.29	.83	6.09	0	0	2.35	6.51	7.34	6.79	2.49	5.26	1.25	1.8	12.33	6.23	.83	1.11	12.6	4.16	4.99	1.25	.83	.42	1.11	.83	1.39	7.76	1.66	1.66	5.54	3.05	1.94	4.71	.28	.42	1.11
17.54	25.44	78.25	1.4	2.54	.35	1.67	.7	9.21	8.16	6.84	4.3	5.61	.7	2.02	11.58	4.82	1.49	1.67	9.04	1.93	2.72	1.67	.79	1.14	1.4	1.32	.61	6.05	2.11	1.84	7.37	3.86	2.11	2.54	.18	1.23	.53
19.34	30.48	72.52	.41	1.22	0	1.22	.27	5.71	7.07	6.53	3.13	5.17	.68	1.9	11.97	4.76	.95	1.63	5.03	1.36	4.08	2.59	1.5	1.5	.95	1.09	.54	4.22	1.5	1.09	9.12	5.99	5.44	3.13	.54	0	.14
17.1	35.56	70.05	.6	1.43	0	.72	.36	3.82	7.76	6.21	1.67	4.3	.95	1.55	13.96	3.58	1.07	1.07	6.21	2.27	2.51	2.03	2.74	1.55	1.79	2.27	1.31	4.42	1.67	2.39	7.16	5.13	2.98	2.74	.24	.36	.95
26	30.77	76.56	1.23	3.56	.07	1.31	.94	6.39	7.69	7.84	2.76	5.73	1.16	2.54	10.96	5.22	1.6	2.18	8.78	1.6	3.92	1.96	2.25	1.74	2.39	1.09	1.16	5.37	2.47	1.31	6.6	5.3	2.39	3.05	.44	.07	.36
15.98	31.68	70.8	1.04	1.69	0	.39	1.83	6.13	5.61	7.43	1.56	6.52	.78	2.09	11.21	4.43	.91	1.56	6.91	1.96	3.91	1.56	1.3	.65	1.17	1.56	1.56	3.65	1.96	1.17	7.82	3.52	3.13	2.48	.52	.26	.13
15.31	27.04	76.23	1.09	3.45	0	0	.73	5.44	8.17	10.34	1.63	8.35	3.09	3.63	11.43	4.17	.73	1.27	8.71	1.81	1.81	.73	1.09	4.17	1.81	1.63	1.63	6.17	1.81	3.27	6.72	4.72	2.9	1.63	.18	.18	.54
17.7	31.08	70.99	.55	1.59	0	.76	.69	4.62	6.48	7.79	2.21	5.24	1.31	2.89	12.34	5.93	1.52	3.1	5.51	2.55	2.69	1.45	1.65	2.14	3.1	1.79	.76	4.55	2.76	1.45	5.58	5.1	3.31	2.69	.07	.07	.48
17.97	32.76	73.12	1.25	1.65	0	.31	.55	4.23	7.68	6.74	1.33	5.8	1.1	4.15	13.24	5.41	1.72	2.04	6.74	2.66	1.57	1.88	1.65	1.1	1.18	2.59	1.49	5.17	2.19	1.72	5.88	5.33	3.37	1.96	.24	.08	1.18
18.19	32.1	69.84	1.49	1.19	.15	.3	.45	4.46	9.06	5.5	1.04	4.9	1.19	1.34	11.89	4.75	.3	2.08	4.75	3.42	.74	1.78	2.38	1.04	.59	1.19	.74	4.01	1.34	2.97	2.97	3.42	5.2	3.27	2.67	.15	1.49
27.89	35.19	70.65	1.33	.8	0	.27	.13	3.05	7.97	5.31	1.33	4.65	.8	2.79	12.62	5.18	.4	1.59	5.58	3.05	2.66	2.12	1.73	1.33	.8	1.2	1.99	4.38	.66	3.59	5.31	6.51	3.72	2.66	.8	.53	.66
18.83	28.85	76.77	2.56	3.25	.04	.31	.73	5.2	7.22	8.02	2.29	7.37	1.72	3.29	12.04	4.81	1.76	1.76	8.33	3.36	2.67	2.87	1.57	2.37	2.29	1.53	.92	5.27	2.37	1.72	5.2	4.28	4.05	4.39	.38	.15	.04
16.05	32.35	72.9	.98	1.8	0	.49	.49	4.54	7.87	6.12	1.26	5.3	1.04	3.77	13.11	4.37	.6	1.75	7.32	2.51	2.73	1.42	1.64	1.37	.82	1.86	1.64	4.32	1.04	1.58	5.25	5.46	4.32	2.19	.6	.11	1.09
16.24	42.2	67.33	1.29	1.59	0	0	.7	3.18	7.65	4.37	.2	3.77	1.29	2.28	10.92	5.76	.99	2.98	4.17	3.57	4.27	1.69	1.39	.99	2.48	.6	2.58	3.38	2.18	1.69	4.67	3.18	3.08	5.36	.99	0	.3
15.78	33.55	73.72	2.14	2.05	.37	.09	1.21	4.29	7.64	9.23	1.12	7.27	1.68	3.17	11.65	3.54	1.3	2.89	6.8	2.89	2.24	2.98	2.24	1.58	1.49	1.86	1.21	3.36	1.86	1.68	5.59	2.89	2.89	2.7	.93	.09	.19
15.22	25.48	78.85	1.6	6.09	.32	.64	.8	4.81	8.65	12.98	4.65	10.42	.64	2.88	11.06	4.49	2.08	.8	13.14	1.28	1.28	1.92	1.76	1.6	1.76	1.12	1.76	8.33	2.72	1.92	5.29	4.49	3.69	3.53	.48	0	0
14.14	20.73	80.73	2.44	3.17	.24	2.93	4.15	6.34	5.61	9.51	4.39	10.49	1.46	2.93	9.27	5.37	1.71	3.66	13.9	2.68	2.68	2.44	.49	2.44	4.15	1.95	.49	5.12	3.66	1.46	6.83	3.66	.49	1.46	.24	0	.24
21.05	32.25	74	3.25	3	.5	.5	.75	2.5	6	6.5	.5	8	1.25	3.25	12.25	5.75	.25	3.25	8	2.75	3.25	2.5	1.75	1.5	1.75	1.25	1	4.75	1.25	2.25	6.25	5	3.5	2.5	1	0	.25
19.04	31.8	75.67	1.29	1.94	.09	.55	.46	5.62	7.83	6.54	1.57	7.28	1.11	2.21	11.8	4.24	.65	2.76	6.91	2.95	2.4	1.75	1.75	.74	1.01	1.2	2.03	4.33	.83	2.4	5.44	5.07	5.71	3.69	1.66	0	1.29
20.94	26.12	76.12	3.37	1.12	.28	2.25	.84	4.21	8.99	7.02	2.81	5.9	1.4	1.69	17.7	4.78	.84	0	9.27	2.81	.84	2.81	2.25	2.81	1.4	.84	.56	3.37	1.4	2.25	8.71	1.4	2.53	1.12	0	0	.84
24.8	25.81	71.77	1.61	2.42	0	0	0	5.65	7.26	3.23	2.42	3.23	.81	1.61	14.52	6.45	.81	.81	8.06	0	1.61	.81	1.61	1.61	.81	0	2.42	6.45	2.42	3.23	2.42	7.26	4.84	5.65	2.42	0	.81
17.88	30.92	73.29	2.37	1.38	.13	.13	.86	5.13	7.96	6.64	2.96	6.05	.46	2.37	13.36	5	.79	1.38	6.64	2.17	1.05	1.32	1.51	1.38	1.05	.72	.59	4.28	2.04	1.71	7.17	4.34	4.21	1.58	1.38	.39	1.51
17.95	31.82	73.05	2.69	1.41	0	.64	.64	4.48	6.85	7.11	3.59	5.12	1.09	1.98	12.61	4.16	1.41	1.92	6.79	1.98	2.5	1.92	1.41	1.47	1.28	1.34	1.15	4.87	1.73	1.34	6.66	4.48	3.59	2.3	.64	0	2.18
15.04	32.98	69.41	2.13	1.33	0	.4	.93	3.06	7.71	6.12	1.86	4.65	1.33	1.6	11.7	3.86	.53	2.13	7.31	1.46	3.99	.8	2.39	.53	.66	.66	1.2	4.92	.4	1.06	5.85	4.79	4.26	2.93	1.06	0	1.6
15.04	28.74	74.82	2.49	1.78	.18	1.25	.59	5.94	5.94	7.78	3.21	6.65	1.19	2.49	12.59	5.29	1.07	2.61	8.67	1.48	1.48	1.37	2.02	1.48	2.2	1.31	.89	4.75	2.73	1.9	6.53	3.38	3.44	1.9	1.01	.36	1.6
18.89	25.5	76.38	1.72	3.37	.2	.52	1.12	6.78	8.3	8.1	1.72	7.5	1.48	2.69	12.47	4.13	1.32	1.6	8.46	3.25	2.33	2.69	1.4	1.08	1.76	1.08	1.08	4.93	2.13	1.72	7.26	3.77	2.61	2.89	.2	.2	.32
16.52	28.59	73.54	1.55	2	.13	.39	1.22	4.25	7.98	6.95	2.12	5.67	.77	2.25	12.88	3.99	.77	2.7	8.56	3.03	1.87	.84	1.48	.97	.97	.58	1.42	4.12	1.09	2.19	6.31	5.15	2.51	1.87	.58	.39	1.22
